PLAYERS,GP,MIN,FGm,FGa,FG%,3Pm,3Pa,3P%,FTm,FTa,FT%,APG,STL,BLK,oREB,dREB,REB,PF,TOV,+/-,PTS,Team
J. Wright,3,108.17,26,63,41%,2,8,25%,18,32,56%,9,4,3,16,16,32,13,6,-7,72,ROS
K. Locke,3,116.07,27,67,40%,5,23,22%,8,11,73%,6,1,3,9,20,29,9,8,-17,67,ROS
R. Ross,3,112.33,28,65,43%,2,10,20%,4,9,44%,9,2,2,13,19,32,8,9,9,62,ROS
K. Alexander,2,81.37,16,37,43%,1,8,13%,4,7,57%,4,5,2,6,20,26,4,7,2,37,ROS
R. Nambatac,10,290.18,48,101,48%,17,40,43%,18,26,69%,27,19,2,5,45,50,19,16,-13,131,ROS
J. Yap,4,70.87,13,38,34%,3,16,19%,10,12,83%,2,2,0,4,11,15,3,1,-6,39,ROS
E. Daquioag,11,214.98,24,63,38%,9,30,30%,11,15,73%,22,5,4,5,15,20,15,10,-7,68,ROS
J. Ponferada,11,167.88,24,59,41%,11,29,38%,4,14,29%,5,2,3,12,24,36,32,5,-25,63,ROS
M. Borboran,10,127.5,21,45,47%,6,19,32%,7,10,70%,3,2,6,7,17,24,5,4,35,55,ROS
G. Norwood,6,155.82,10,33,30%,3,13,23%,3,6,50%,14,5,3,4,21,25,8,2,-3,26,ROS
B. Belga,6,115.07,9,31,29%,2,17,12%,5,5,100%,10,4,4,3,15,18,19,10,-22,25,ROS
C. Exciminiano,11,171.35,15,50,30%,6,26,23%,6,12,50%,12,10,2,13,13,26,14,5,14,42,ROS
N. Torres,9,126.55,10,35,29%,3,14,21%,6,7,86%,3,3,6,7,13,20,14,7,3,29,ROS
K. Rosales,9,146.27,10,36,28%,4,16,25%,4,6,67%,8,7,0,4,20,24,12,6,-14,28,ROS
S. Onwubere,6,39.42,4,11,36%,1,5,20%,2,6,33%,0,3,0,2,4,6,9,6,9,11,ROS
J. Alejandro,2,7.35,1,2,50%,0,1,0%,0,0,0%,0,0,0,0,1,1,1,1,-12,2,ROS
J. Ibanes,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,ROS
G. Norwood,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,ROS
B. Belga,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,ROS
J. Mocon,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,ROS
