PLAYERS,GP,MIN,FGm,FGa,FG%,3Pm,3Pa,3P%,FTm,FTa,FT%,APG,STL,BLK,oREB,dREB,REB,PF,TOV,+/-,PTS,Team
D. Wells,8,37.94,13.13,24.0,453%,1.63,5.5,246%,9.25,10.88,639%,4.75,2.0,1.0,1.5,6.38,7.88,2.75,4.13,1.88,37.13,SMB
J. Fajardo,11,34.09,7.27,12.45,58%,0.0,0.18,0%,4.27,5.45,78%,1.91,0.27,1.18,5.36,8.27,13.64,2.91,2.91,1.0,18.82,SMB
J. Holland,2,42.69,6.5,19.5,33%,1.5,9.0,17%,3.0,4.0,75%,4.5,3.0,1.5,3.0,7.5,10.5,2.0,2.0,-6.0,17.5,SMB
A. Cabagnot,11,28.03,4.91,12.55,39%,1.36,4.64,29%,1.55,2.09,74%,2.91,1.0,0.09,0.91,2.91,3.82,1.73,1.09,-0.82,12.73,SMB
T. Romeo,9,22.73,4.33,11.22,39%,1.33,5.0,27%,1.22,1.56,79%,2.78,0.67,0.0,0.33,2.22,2.56,2.11,1.33,3.89,11.22,SMB
A. Santos,10,29.73,3.9,10.3,38%,1.8,6.6,27%,0.9,1.0,90%,1.1,0.6,1.5,0.9,5.3,6.2,3.1,1.4,3.3,10.5,SMB
C. Ross,11,31.23,2.55,6.36,40%,1.18,3.45,34%,1.36,1.91,71%,3.36,2.27,0.36,1.09,3.18,4.27,2.45,1.91,-2.64,7.64,SMB
M. Lassiter,8,24.58,2.75,7.13,39%,1.25,3.38,37%,0.5,0.88,57%,1.25,0.63,0.13,0.88,2.63,3.5,2.13,0.88,-2.88,7.25,SMB
V. Pessumal,11,12.66,1.64,3.73,44%,1.55,3.09,50%,0.18,0.18,100%,0.18,0.18,0.09,0.27,0.91,1.18,1.09,0.27,1.55,5.0,SMB
M. Tautuaa,6,17.28,1.67,4.83,34%,0.17,1.67,10%,0.83,1.17,71%,0.83,0.17,0.33,0.5,3.33,3.83,2.0,1.67,-4.33,4.33,SMB
K. Nabong,10,15.97,1.5,4.1,37%,0.8,2.5,32%,0.3,0.7,43%,1.0,0.5,0.4,0.7,3.3,4.0,2.1,1.1,0.8,4.1,SMB
C. Standhardinger,4,12.78,1.0,3.0,33%,0.0,0.25,0%,1.5,2.25,67%,0.25,0.75,0.25,1.5,2.5,4.0,2.5,0.25,-1.0,3.5,SMB
R. Tubid,1,6.15,0.0,2.0,0%,0.0,1.0,0%,2.0,2.0,100%,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,-6.0,2.0,SMB
P. Zamar,3,5.04,0.67,1.67,40%,0.33,1.33,25%,0.0,0.0,0%,0.67,0.0,0.0,0.0,0.67,0.67,0.0,0.67,0.0,1.67,SMB
M. Ganuelas-Rosser,8,8.61,0.25,0.75,33%,0.0,0.0,0%,0.13,0.5,25%,0.5,0.5,0.13,0.63,0.63,1.25,1.25,0.38,1.13,0.63,SMB
B. Mamaril,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SMB
C. Lanete,1,2.45,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-5.0,0.0,SMB
L. Vigil,1,4.25,0.0,1.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.0,0.0,SMB
