PLAYERS,GP,MIN,FGm,FGa,FG%,3Pm,3Pa,3P%,FTm,FTa,FT%,APG,STL,BLK,oREB,dREB,REB,PF,TOV,+/-,PTS,Team
C. Cruz,12,27.23,4.25,10.33,41%,2.67,6.33,42%,1.5,1.75,86%,1.17,0.25,0.42,1.5,3.67,5.17,2.92,0.67,-3.25,12.67,ALA
J. Teng,12,27.35,4.08,11.25,36%,0.42,2.0,21%,4.0,5.92,68%,2.25,0.17,0.42,1.83,5.58,7.42,3.0,1.75,-1.75,12.58,ALA
C. Banchero,12,29.06,4.58,12.17,38%,1.25,4.0,31%,1.58,2.5,63%,4.67,1.25,0.0,0.33,4.58,4.92,1.92,2.83,-6.25,12.0,ALA
S. Enciso,9,31.08,4.0,11.0,36%,2.33,7.0,33%,0.56,1.11,50%,4.56,0.44,0.0,0.78,1.44,2.22,0.89,1.22,-1.11,10.89,ALA
S. Thoss,12,23.48,4.58,9.58,48%,0.0,0.33,0%,0.75,1.17,64%,1.08,0.5,0.5,1.08,4.25,5.33,2.67,1.5,-0.75,9.92,ALA
J. Casio,4,16.6,3.5,7.0,50%,1.25,3.0,42%,0.25,1.0,25%,1.75,1.0,0.0,0.5,1.75,2.25,1.0,0.75,-4.0,8.5,ALA
J. Pascual,12,19.9,3.17,7.67,41%,0.0,0.17,0%,0.58,2.58,23%,1.25,1.25,0.58,2.5,4.5,7.0,2.67,1.0,0.17,6.92,ALA
C. Exciminiano,12,14.4,2.42,6.42,38%,0.5,2.67,19%,0.67,1.25,53%,0.58,1.0,0.33,0.92,1.58,2.5,1.5,0.42,-0.25,6.0,ALA
M. Ayaay,12,14.54,2.17,5.5,39%,0.58,2.0,29%,0.92,1.25,73%,0.67,0.33,0.08,1.58,2.25,3.83,2.75,1.33,1.42,5.83,ALA
D. Potts,7,16.57,1.43,4.14,34%,0.43,1.71,25%,1.43,2.14,67%,1.29,0.14,0.0,1.14,1.71,2.86,1.0,0.86,-1.43,4.71,ALA
K. Racal,4,21.93,0.75,1.5,50%,0.75,1.5,50%,1.75,2.0,88%,1.0,0.5,1.0,0.75,1.75,2.5,1.75,1.25,-3.0,4.0,ALA
A. Galliguez,10,12.1,1.1,3.3,33%,0.7,2.0,35%,0.6,0.7,86%,1.1,0.5,0.0,0.3,0.8,1.1,1.6,0.5,2.5,3.5,ALA
N. Baclao,12,20.5,1.42,3.58,40%,0.0,0.5,0%,0.5,1.17,43%,1.0,0.67,1.0,1.67,3.25,4.92,2.92,1.42,-1.25,3.33,ALA
V. Manuel,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ALA
M. Magat,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ALA
Y. Andrada,4,5.88,0.0,0.5,0%,0.0,0.0,0%,0.0,0.0,0%,0.25,0.0,0.25,0.25,0.75,1.0,0.75,1.0,-0.25,0.0,ALA
G. Babilonia,2,4.04,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.5,0.0,ALA
