PLAYERS,GP,MIN,FGm,FGa,FG%,3Pm,3Pa,3P%,FTm,FTa,FT%,APG,STL,BLK,oREB,dREB,REB,PF,TOV,+/-,PTS,Team
A. Maliksi,11,282.85,65,145,45%,14,45,31%,37,45,82%,27,7,5,17,49,66,36,20,-73,181,BWE
M. Digregorio,11,265.4,50,122,41%,22,52,42%,13,17,76%,11,13,0,10,21,31,22,13,-112,135,BWE
M. Belo,11,265.88,44,116,38%,13,45,29%,16,23,70%,23,10,4,16,40,56,24,21,-62,117,BWE
A. Tratter,11,267.8,44,82,54%,0,0,0%,29,68,43%,7,16,3,28,46,74,26,12,-29,117,BWE
S. Sumang,11,274.27,36,94,38%,10,38,26%,15,20,75%,48,18,3,3,35,38,14,30,-74,97,BWE
R. Al-Hussaini,4,59.07,12,23,52%,0,1,0%,4,9,44%,1,0,1,7,8,15,4,1,-27,28,BWE
P. Desiderio,11,246.17,26,73,36%,7,28,25%,13,18,72%,21,5,1,12,30,42,27,8,-39,72,BWE
C. Javier,11,189.72,21,58,36%,4,14,29%,16,20,80%,9,1,3,17,26,43,15,13,-83,62,BWE
J. Eriobu,7,65.23,13,32,41%,1,7,14%,7,10,70%,4,4,0,9,12,21,7,4,-28,34,BWE
R. Jose,9,100.72,16,40,40%,1,4,25%,7,13,54%,7,3,0,13,17,30,13,9,-49,40,BWE
R. Banal,8,95.03,12,27,44%,5,11,45%,4,5,80%,12,4,1,10,10,20,6,9,-4,33,BWE
D. Dario,8,97.25,10,34,29%,6,21,29%,1,2,50%,21,2,0,1,7,8,6,4,20,27,BWE
J. Sena,10,156.97,10,31,32%,1,1,100%,9,10,90%,9,5,1,13,25,38,28,12,-49,30,BWE
E. Palma,6,42.22,8,23,35%,0,4,0%,0,0,0%,0,6,1,5,3,8,8,1,11,16,BWE
M. Cortez,9,81.52,10,23,43%,1,8,13%,2,2,100%,8,5,0,1,4,5,11,9,-54,23,BWE
G. Alolino,7,59.92,3,20,15%,1,3,33%,2,2,100%,8,3,0,1,6,7,4,4,-23,9,BWE
M. Cruz,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,BWE
A. Tamsi,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,BWE
P. Zamar,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,BWE
