PLAYERS,GP,MIN,FGm,FGa,FG%,3Pm,3Pa,3P%,FTm,FTa,FT%,APG,STL,BLK,oREB,dREB,REB,PF,TOV,+/-,PTS,Team
J. Perez,11,352.72,65,163,40%,9,33,27%,42,58,72%,30,16,4,29,48,77,36,27,-55,181,COL
R. McCarthy,11,345.42,56,139,40%,26,79,33%,23,36,64%,52,14,1,8,50,58,32,36,-24,161,COL
J. Corpuz,11,260.25,56,114,49%,1,1,100%,18,32,56%,13,18,11,23,50,73,42,26,-66,131,COL
E. Camson,11,171.58,40,106,38%,10,43,23%,11,13,85%,10,9,2,14,26,40,22,13,-37,101,COL
R. Celda,9,162.2,19,52,37%,9,31,29%,19,23,83%,14,7,0,1,20,21,14,12,-43,66,COL
G. Khobuntin,11,217.05,27,51,53%,11,20,55%,14,21,67%,7,5,0,9,11,20,17,9,-27,79,COL
J. Calvo,11,281.37,27,64,42%,4,15,27%,20,24,83%,36,12,0,6,33,39,17,22,-46,78,COL
J. Reyes,9,195.27,23,61,38%,11,33,33%,6,18,33%,14,8,6,16,36,52,23,12,-40,63,COL
J. King,1,22.55,3,7,43%,1,2,50%,0,0,0%,1,1,0,3,5,8,2,1,-9,7,COL
J. Faundo,9,144.05,17,45,38%,0,0,0%,12,20,60%,1,2,6,17,27,44,26,7,-22,46,COL
R. Escoto,11,127.8,19,43,44%,9,23,39%,4,8,50%,8,0,0,5,13,18,23,4,8,51,COL
J. Gabriel,4,16.97,4,6,67%,0,1,0%,3,5,60%,0,0,0,2,3,5,1,1,11,11,COL
P. Cahilig,11,105.58,9,23,39%,6,15,40%,3,6,50%,5,5,7,4,10,14,12,0,-1,27,COL
K. Agovida,10,101.98,9,26,35%,0,3,0%,5,12,42%,6,3,2,12,10,22,6,5,3,23,COL
R. Cabrera,7,27.95,4,17,24%,3,15,20%,0,1,0%,0,1,0,1,3,4,3,1,1,11,COL
C. Tabi,3,17.27,1,3,33%,0,1,0%,0,0,0%,2,1,0,0,2,2,2,1,2,2,COL
C. Lastimosa,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,COL
D. Ababou,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,COL
R. Sara,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,COL
