PLAYERS,GP,MIN,FGm,FGa,FG%,3Pm,3Pa,3P%,FTm,FTa,FT%,APG,STL,BLK,oREB,dREB,REB,PF,TOV,+/-,PTS,Team
C. Newsome,11,332.23,57,128,45%,11,40,28%,25,32,78%,46,12,4,13,59,72,31,23,-1,150,MER
B. Amer,11,269.55,46,123,37%,19,64,30%,19,24,79%,20,14,0,7,35,42,23,17,18,130,MER
N. Salva,11,259.93,47,96,49%,10,26,38%,20,24,83%,13,6,4,13,38,51,20,15,33,124,MER
R. de Ocampo,9,252.5,34,100,34%,11,36,31%,13,19,68%,25,8,3,16,47,63,14,17,4,92,MER
C. Hodge,11,357.73,45,98,46%,1,11,9%,19,32,59%,37,8,6,36,64,100,28,8,-13,110,MER
J. Dillinger,5,101.62,14,30,47%,7,16,44%,4,5,80%,6,1,1,2,24,26,13,1,1,39,MER
N. Canaleta,9,112.58,23,52,44%,8,24,33%,8,9,89%,7,3,1,5,18,23,10,4,-31,62,MER
R. Hugnatan,11,241.37,25,82,30%,5,31,16%,17,20,85%,8,1,3,15,42,57,24,15,8,72,MER
T. Jackson,10,145.05,20,52,38%,12,30,40%,9,11,82%,16,2,1,2,11,13,16,13,-17,61,MER
K. Quinto,9,103.57,13,27,48%,2,5,40%,5,6,83%,13,2,0,10,9,19,8,4,-45,33,MER
N. Pinto,10,124.85,9,37,24%,3,16,19%,12,18,67%,16,3,1,6,11,17,21,5,-50,33,MER
M. Tolomia,10,114.72,13,38,34%,3,21,14%,3,5,60%,14,5,0,4,11,15,18,8,-16,32,MER
A. Caram,9,107.08,11,34,32%,2,7,29%,1,2,50%,11,2,0,2,6,8,12,2,-12,25,MER
B. Faundo,9,92.92,10,31,32%,0,0,0%,1,3,33%,0,1,3,4,12,16,15,5,-31,21,MER
R. Jamito,4,21.3,3,4,75%,0,0,0%,0,1,0%,1,0,0,4,1,5,3,0,-13,6,MER
J. Ballesteros,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,MER
K. Bono,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,MER
G. Lanete,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,MER
