PLAYERS,GP,MIN,FGm,FGa,FG%,3Pm,3Pa,3P%,FTm,FTa,FT%,APG,STL,BLK,oREB,dREB,REB,PF,TOV,+/-,PTS,Team
J. Yap,11,25.21,5.09,12.73,40%,2.36,5.91,40%,2.18,2.73,80%,1.82,0.73,0.0,0.64,2.36,3.0,1.55,1.0,6.45,14.73,ROS
M. Ahanmisi,11,28.39,3.55,8.36,42%,1.55,4.27,36%,3.45,4.91,70%,2.82,1.36,0.36,1.55,4.36,5.91,2.45,1.55,2.45,12.09,ROS
N. Torres,11,17.63,3.27,6.45,51%,1.45,3.36,43%,1.09,1.36,80%,0.73,0.27,0.64,1.0,2.36,3.36,1.82,0.91,1.45,9.09,ROS
B. Belga,11,26.45,3.45,8.82,39%,0.55,2.91,19%,1.09,2.0,55%,4.09,0.27,0.27,0.73,6.09,6.82,2.55,2.18,-0.82,8.55,ROS
J. Mocon,11,21.67,2.91,8.0,36%,0.73,3.36,22%,1.64,2.64,62%,1.91,0.45,0.27,2.36,5.09,7.45,2.09,1.91,1.55,8.18,ROS
R. Almazan,6,20.64,2.67,5.0,53%,0.5,1.83,27%,2.17,3.17,68%,2.33,0.33,2.17,2.0,4.0,6.0,2.67,2.0,1.0,8.0,ROS
R. Nambatac,11,15.54,2.09,4.55,46%,0.73,1.55,47%,2.0,2.64,76%,0.73,0.64,0.0,0.45,2.64,3.09,2.55,0.91,4.09,6.91,ROS
M. Borboran,9,16.18,2.56,5.0,51%,1.0,2.0,50%,0.33,0.44,75%,0.78,0.44,0.0,1.89,1.56,3.44,0.56,0.33,1.56,6.44,ROS
K. Rosales,10,16.53,1.8,4.7,38%,0.6,1.4,43%,1.5,2.0,75%,1.5,0.2,0.0,0.4,1.4,1.8,1.2,1.1,-3.3,5.7,ROS
E. Daquioag,11,14.06,2.18,6.27,35%,0.55,2.36,23%,0.73,1.45,50%,1.0,0.91,0.0,0.73,1.0,1.73,1.27,0.55,-2.0,5.64,ROS
J. Alejandro,2,8.59,1.5,4.5,33%,1.0,2.0,50%,1.5,2.0,75%,2.0,0.0,0.0,0.0,1.0,1.0,0.5,0.0,5.0,5.5,ROS
J. Ponferada,11,14.59,1.45,3.73,39%,0.73,1.91,38%,1.09,1.45,75%,1.0,0.55,0.18,1.0,2.36,3.36,2.82,0.91,2.73,4.73,ROS
G. Norwood,11,23.33,1.64,6.36,26%,0.45,2.73,17%,0.73,1.45,50%,2.0,0.45,0.45,1.09,3.0,4.09,1.27,0.82,-1.09,4.45,ROS
D. Maiquez,6,7.48,1.5,2.83,53%,0.0,0.33,0%,0.17,0.33,50%,0.17,0.5,0.0,1.33,0.83,2.17,2.33,1.0,-1.67,3.17,ROS
S. Onwubere,3,4.26,0.33,2.67,13%,0.0,1.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.67,1.0,1.67,1.0,0.0,-5.0,0.67,ROS
A. Washington,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ROS
C. Tiu,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ROS
