PLAYERS,GP,MIN,FGm,FGa,FG%,3Pm,3Pa,3P%,FTm,FTa,FT%,APG,STL,BLK,oREB,dREB,REB,PF,TOV,+/-,PTS,Team
J. Yap,11,277.3,56,140,40%,26,65,40%,24,30,80%,20,8,0,7,26,33,17,11,71,162,ROS
M. Ahanmisi,11,312.25,39,92,42%,17,47,36%,38,54,70%,31,15,4,17,48,65,27,17,27,133,ROS
N. Torres,11,193.92,36,71,51%,16,37,43%,12,15,80%,8,3,7,11,26,37,20,10,16,100,ROS
B. Belga,11,290.92,38,97,39%,6,32,19%,12,22,55%,45,3,3,8,67,75,28,24,-9,94,ROS
J. Mocon,11,238.42,32,88,36%,8,37,22%,18,29,62%,21,5,3,26,56,82,23,21,17,90,ROS
R. Almazan,6,123.85,16,30,53%,3,11,27%,13,19,68%,14,2,13,12,24,36,16,12,6,48,ROS
R. Nambatac,11,170.9,23,50,46%,8,17,47%,22,29,76%,8,7,0,5,29,34,28,10,45,76,ROS
M. Borboran,9,145.62,23,45,51%,9,18,50%,3,4,75%,7,4,0,17,14,31,5,3,14,58,ROS
K. Rosales,10,165.3,18,47,38%,6,14,43%,15,20,75%,15,2,0,4,14,18,12,11,-33,57,ROS
E. Daquioag,11,154.67,24,69,35%,6,26,23%,8,16,50%,11,10,0,8,11,19,14,6,-22,62,ROS
J. Alejandro,2,17.18,3,9,33%,2,4,50%,3,4,75%,4,0,0,0,2,2,1,0,10,11,ROS
J. Ponferada,11,160.48,16,41,39%,8,21,38%,12,16,75%,11,6,2,11,26,37,31,10,30,52,ROS
G. Norwood,11,256.58,18,70,26%,5,30,17%,8,16,50%,22,5,5,12,33,45,14,9,-12,49,ROS
D. Maiquez,6,44.85,9,17,53%,0,2,0%,1,2,50%,1,3,0,8,5,13,14,6,-10,19,ROS
S. Onwubere,3,12.77,1,8,13%,0,3,0%,0,0,0%,0,0,0,2,3,5,3,0,-15,2,ROS
A. Washington,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,ROS
C. Tiu,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,ROS
