PLAYERS,GP,MIN,FGm,FGa,FG%,3Pm,3Pa,3P%,FTm,FTa,FT%,APG,STL,BLK,oREB,dREB,REB,PF,TOV,+/-,PTS,Team
J. Fajardo,11,34.23,8.0,13.0,62%,0.09,0.09,100%,6.0,8.18,73%,2.55,0.55,1.73,4.82,7.64,12.45,2.73,3.55,8.73,22.09,SMB
C. Standhardinger,6,27.03,7.33,14.0,52%,0.0,0.0,0%,2.83,4.33,65%,1.33,0.83,0.33,2.33,4.67,7.0,2.5,2.17,1.17,17.5,SMB
T. Romeo,7,21.96,5.57,12.43,45%,1.43,4.57,31%,3.14,5.14,61%,2.86,0.71,0.14,0.43,2.43,2.86,2.29,2.29,-0.14,15.71,SMB
A. Cabagnot,7,28.31,6.14,13.57,45%,1.71,4.14,41%,1.43,1.71,83%,4.14,1.71,0.29,0.86,2.86,3.71,2.71,2.0,8.57,15.43,SMB
M. Lassiter,11,31.81,5.18,11.91,44%,3.55,8.09,44%,0.73,1.09,67%,3.0,1.18,0.55,0.82,3.91,4.73,3.45,1.82,7.64,14.64,SMB
A. Santos,10,30.49,5.5,14.3,38%,3.0,9.0,33%,0.6,1.0,60%,2.4,0.9,2.1,1.0,5.5,6.5,2.2,1.1,7.0,14.6,SMB
C. Ross,11,34.52,3.18,6.91,46%,1.91,4.0,48%,0.45,0.91,50%,8.18,2.0,0.64,1.09,4.91,6.0,2.18,1.91,6.0,8.73,SMB
V. Pessumal,10,18.08,2.9,6.2,47%,2.2,4.9,45%,0.7,0.8,88%,0.6,0.5,0.5,0.3,1.7,2.0,1.7,0.6,0.8,8.7,SMB
K. Nabong,11,14.6,1.73,4.36,40%,0.73,2.18,33%,0.73,1.18,62%,1.0,0.45,0.45,0.64,2.18,2.82,3.09,0.91,-2.27,4.91,SMB
P. Zamar,9,10.61,0.78,2.78,28%,0.22,1.33,17%,0.44,1.0,44%,1.22,0.33,0.11,0.44,1.33,1.78,1.22,0.33,2.22,2.22,SMB
R. Tubid,9,10.84,0.67,2.56,26%,0.33,2.0,17%,0.33,0.56,60%,0.11,0.0,0.0,0.0,1.33,1.33,1.22,0.33,-2.44,2.0,SMB
M. Ganuelas-Rosser,4,8.63,0.75,1.25,60%,0.0,0.0,0%,0.0,0.0,0%,1.0,0.25,0.25,0.25,0.75,1.0,1.75,0.25,-3.75,1.5,SMB
Y. de Ocampo,2,7.47,0.5,3.0,17%,0.0,0.5,0%,0.0,0.0,0%,1.0,0.0,1.0,1.5,1.5,3.0,1.0,0.5,1.5,1.0,SMB
C. Lanete,2,1.73,0.5,1.0,50%,0.0,0.5,0%,0.0,0.0,0%,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,-2.0,1.0,SMB
B. Mamaril,6,4.79,0.17,1.0,17%,0.0,0.0,0%,0.0,0.0,0%,0.17,0.0,0.33,0.33,0.33,0.67,2.33,0.17,-6.5,0.33,SMB
K. Agovida,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SMB
B. Heruela,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SMB
L. Vigil,4,2.18,0.0,0.5,0%,0.0,0.25,0%,0.0,0.5,0%,0.25,0.0,0.0,0.5,0.5,1.0,0.0,0.0,-3.25,0.0,SMB
