PLAYERS,GP,MIN,FGm,FGa,FG%,3Pm,3Pa,3P%,FTm,FTa,FT%,APG,STL,BLK,oREB,dREB,REB,PF,TOV,+/-,PTS,Team
R. Pogoy,10,31.33,7.3,17.0,43%,2.5,7.2,35%,2.4,3.8,63%,1.3,1.3,0.1,1.7,5.9,7.6,3.2,1.1,2.5,19.5,TNT
W. Castro,11,30.57,4.45,11.55,39%,1.64,5.27,31%,4.82,5.45,88%,6.0,1.73,0.82,0.27,3.36,3.64,2.73,2.91,6.73,15.36,TNT
J. Rosario,8,27.18,6.0,11.5,52%,2.38,5.88,40%,0.5,1.5,33%,0.88,0.38,0.13,1.0,2.88,3.88,3.13,1.38,4.25,14.88,TNT
R. Reyes,11,21.57,2.91,7.27,40%,2.09,5.82,36%,1.0,1.45,69%,2.0,2.64,0.64,0.27,3.0,3.27,2.27,1.27,4.18,8.91,TNT
D. Trollano,11,22.6,3.45,10.09,34%,0.91,3.64,25%,1.0,1.91,52%,1.0,0.45,0.27,2.18,3.18,5.36,1.91,1.0,-2.36,8.82,TNT
J. Cruz,6,19.43,3.33,8.67,38%,1.33,5.17,26%,0.67,1.33,50%,2.33,1.0,0.0,0.67,2.17,2.83,2.5,1.17,-0.33,8.67,TNT
B. Heruela,11,20.86,2.91,6.82,43%,0.45,2.0,23%,0.27,1.18,23%,3.27,1.55,0.18,1.45,1.18,2.64,1.91,1.91,-4.36,6.55,TNT
Y. Taha,10,18.92,2.1,4.9,43%,0.0,0.2,0%,1.4,2.9,48%,1.5,0.6,0.4,2.1,3.8,5.9,2.1,1.3,4.3,5.6,TNT
J. Washington,4,13.01,1.5,3.75,40%,1.0,2.5,40%,1.5,2.75,55%,0.5,0.75,0.5,1.75,2.5,4.25,2.0,0.75,6.75,5.5,TNT
K. Williams,11,28.08,1.91,5.55,34%,0.09,1.27,7%,0.45,1.0,45%,2.91,1.45,0.45,2.09,6.27,8.36,2.36,1.91,1.73,4.36,TNT
A. Semerad,8,13.48,1.38,4.63,30%,0.63,2.88,22%,0.38,0.5,75%,0.13,0.38,0.13,1.0,1.63,2.63,2.63,0.38,0.25,3.75,TNT
D. Semerad,3,10.23,1.33,2.0,67%,0.0,0.0,0%,0.33,0.67,50%,0.33,0.33,0.0,1.67,1.33,3.0,1.67,1.33,2.0,3.0,TNT
M. Miranda,8,9.93,0.88,3.75,23%,0.13,2.38,5%,0.5,0.5,100%,0.25,0.13,0.13,0.5,1.13,1.63,2.25,0.5,-3.5,2.38,TNT
H. Carey,10,8.38,0.6,1.8,33%,0.0,0.1,0%,0.3,0.3,100%,0.5,0.1,0.3,1.3,1.5,2.8,1.6,1.0,-2.8,1.5,TNT
J. Casiño,4,4.3,0.5,1.0,50%,0.25,0.75,33%,0.0,0.0,0%,0.25,0.0,0.0,0.0,0.25,0.25,1.0,0.25,-2.0,1.25,TNT
F. Golla,5,6.01,0.4,1.0,40%,0.2,0.6,33%,0.0,0.4,0%,0.2,0.2,0.4,0.2,0.8,1.0,0.8,0.2,1.8,1.0,TNT
K. Bono,2,6.02,0.0,2.0,0%,0.0,0.5,0%,0.5,1.0,50%,1.0,0.0,0.0,1.5,0.0,1.5,0.5,0.0,-5.0,0.5,TNT
J. Cruz,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TNT
R. Garcia,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TNT
M. Miranda,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TNT
