PLAYERS,GP,MIN,FGm,FGa,FG%,3Pm,3Pa,3P%,FTm,FTa,FT%,APG,STL,BLK,oREB,dREB,REB,PF,TOV,+/-,PTS,Team
R. Pogoy,10,313.33,73,170,43%,25,72,35%,24,38,63%,13,13,1,17,59,76,32,11,25,195,TNT
W. Castro,11,336.27,49,127,39%,18,58,31%,53,60,88%,66,19,9,3,37,40,30,32,74,169,TNT
J. Rosario,8,217.45,48,92,52%,19,47,40%,4,12,33%,7,3,1,8,23,31,25,11,34,119,TNT
R. Reyes,11,237.27,32,80,40%,23,64,36%,11,16,69%,22,29,7,3,33,36,25,14,46,98,TNT
D. Trollano,11,248.63,38,111,34%,10,40,25%,11,21,52%,11,5,3,24,35,59,21,11,-26,97,TNT
J. Cruz,6,116.57,20,52,38%,8,31,26%,4,8,50%,14,6,0,4,13,17,15,7,-2,52,TNT
B. Heruela,11,229.42,32,75,43%,5,22,23%,3,13,23%,36,17,2,16,13,29,21,21,-48,72,TNT
Y. Taha,10,189.17,21,49,43%,0,2,0%,14,29,48%,15,6,4,21,38,59,21,13,43,56,TNT
J. Washington,4,52.03,6,15,40%,4,10,40%,6,11,55%,2,3,2,7,10,17,8,3,27,22,TNT
K. Williams,11,308.83,21,61,34%,1,14,7%,5,11,45%,32,16,5,23,69,92,26,21,19,48,TNT
A. Semerad,8,107.8,11,37,30%,5,23,22%,3,4,75%,1,3,1,8,13,21,21,3,2,30,TNT
D. Semerad,3,30.7,4,6,67%,0,0,0%,1,2,50%,1,1,0,5,4,9,5,4,6,9,TNT
M. Miranda,8,79.45,7,30,23%,1,19,5%,4,4,100%,2,1,1,4,9,13,18,4,-28,19,TNT
H. Carey,10,83.83,6,18,33%,0,1,0%,3,3,100%,5,1,3,13,15,28,16,10,-28,15,TNT
J. Casiño,4,17.18,2,4,50%,1,3,33%,0,0,0%,1,0,0,0,1,1,4,1,-8,5,TNT
F. Golla,5,30.03,2,5,40%,1,3,33%,0,2,0%,1,1,2,1,4,5,4,1,9,5,TNT
K. Bono,2,12.03,0,4,0%,0,1,0%,1,2,50%,2,0,0,3,0,3,1,0,-10,1,TNT
J. Cruz,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,TNT
R. Garcia,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,TNT
M. Miranda,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,TNT
