PLAYERS,GP,MIN,FGm,FGa,FG%,3Pm,3Pa,3P%,FTm,FTa,FT%,APG,STL,BLK,oREB,dREB,REB,PF,TOV,+/-,PTS,Team
M. Tautuaa,1,41.18,9,14,64%,0,1,0%,2,4,50%,2,1,2,2,9,11,2,2,17,20,SMB
T. Romeo,1,28.53,8,17,47%,2,7,29%,1,1,100%,7,0,0,0,2,2,4,4,13,19,SMB
A. Santos,1,43.3,7,12,58%,4,7,57%,0,2,0%,3,5,1,4,11,15,4,1,23,18,SMB
M. Lassiter,1,33.65,7,11,64%,2,3,67%,1,2,50%,5,1,2,0,1,1,5,2,22,17,SMB
A. Cabagnot,1,26.7,3,12,25%,2,6,33%,2,2,100%,1,1,0,0,1,1,4,4,5,10,SMB
C. Ross,1,34.95,1,6,17%,1,6,17%,1,2,50%,7,3,0,1,4,5,5,2,23,4,SMB
R. Escoto,1,11.52,1,2,50%,0,0,0%,1,3,33%,0,0,0,3,2,5,2,2,-8,3,SMB
P. Zamar,1,4.52,1,1,100%,1,1,100%,0,0,0%,0,0,0,0,0,0,0,0,-4,3,SMB
B. Mamaril,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,SMB
R. Tubid,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,SMB
R. Gamalinda,1,5.57,0,0,0%,0,0,0%,0,0,0%,0,1,0,0,0,0,0,1,-6,0,SMB
C. Lanete,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,SMB
J. Fajardo,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,SMB
M. Ganuelas-Rosser,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,SMB
G. Alolino,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,SMB
V. Pessumal,1,9.65,0,1,0%,0,1,0%,0,0,0%,0,0,0,0,0,0,0,0,-3,0,SMB
W. Comboy,1,0.43,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,-2,0,SMB
D. De Guzman,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,SMB
B. Austria,0,0.0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,SMB
