Name,j_number,height,pos
M. Abundo,29,68.0,G
R. Adams,1,,F/G
K. Agovida,17,,G
J. Aguilar,25,81.0,F
R. Aguilar,23,76.0,F
M. Ahanmisi,13,,G
R. Hussaini,19,,C
K. Alas,6,72.0,G
J. Alejandro,77,,G
R. Almazan,20,80.0,C
G. Alolino,4,,G
B. Amer,9,72.0,G
Y. Andrada,32,77.0,F
S. Anthony,10,76.0,F
M. Ayaay,25,,G
N. Baclao,9,77.0,C
C. Baguio,8,74.0,F
C. Balagasay,30,,F/G
J. Balanza,70,,G
C. Banchero,22,74.0,G
A. Barroca,14,70.0,G
B. Batiller,24,,G
B. Belga,30,77.0,F
M. Belo,12,,F
R. Bolick,8,,G
M. Borboran,16,76.0,F
R. Brondial,91,77.0,F
A. Cabagnot,5,71.0,G
R. Cabrera,3,,F
M. Caguioa,47,72.0,G
P. Cahilig,10,,G
M. Calisaan,11,,F
J. Calvo,2,,G
E. Camson,13,76.0,F
N. Canaleta,9,76.0,F
P. Caperal,12,79.0,F
A. Caram,17,68.0,G
H. Carey,4,75.0,F
J. Casiño,,,
J. Casio,42,70.0,G
W. Castro,17,70.0,G
R. Celda,0,72.0,G
J. Chan,16,75.0,G
J. Chua,18,77.0,C
W. Comboy,21,,G
J. Corpuz,1,76.0,F
M. Cortez,0,72.0,G
J. Cruz,27,76.0,F
C. Cruz,21,,F
J. Cruz,39,72.0,G
E. Daquioag,8,,G
D. Dario,5,,G
S. Leon,9,,G
R. Ocampo,33,78.0,F
A. Cruz,18,,F
R. Rosa,19,75.0,G
R. Dennison,21,,G
P. Desiderio,18,,G
J. Devance,38,79.0,F
M. Digregorio,7,,G
J. Dillinger,20,77.0,F
C. Doliguez,19,,F/G
J. Elorde,9,,G
S. Enciso,0,,G
J. Erram,7,79.0,C
R. Escoto,8,,C
C. Exciminiano,17,73.0,G
J. Fajardo,15,,C
B. Faundo,0,78.0,F
J. Faundo,15,,F
K. Ferrer,0,,SG
L. Flores,26,,C
L. Fonacier,12,74.0,G
J. Gabayni,28,,C
A. Galliguez,23,,G
R. Gamalinda,12,76.0,G
M. Gamboa,1,,G
M. Rosser,22,76.0,F
R. Garcia,12,71.0,G
J. Grey,14,,G
B. Guinto,30,,C
R. Herndon,9,74.0,G
B. Heruela,1,70.0,G
C. Hodge,7,77.0,F
R. Hugnatan,21,77.0,C
K. Ighalo,17,76.0,G
J. Intal,7,76.0,F
T. Jackson,2,,G
J. Jalalon,6,,G
C. Javier,28,,F
R. Jazul,13,71.0,G
R. Jose,6,76.0,F
G. Khobuntin,12,,F
J. King,35,72.0,G
G. Lanete,13,,G
C. Lanete,26,72.0,G
K. Lao,13,,G
M. Lassiter,13,75.0,G
P. Lee,3,72.0,G
M. Magat,0,,F
A. Maliksi,22,75.0,F
A. Mallari,11,76.0,G
B. Mamaril,2,77.0,C
S. Manganti,1,,F/G
V. Manuel,87,76.0,F
D. Marcelo,22,77.0,C
A. Mariano,31,,F
R. Mccarthy,11,,G
J. Melton,2,71.0,G
S. Mercado,3,73.0,G
M. Miranda,2,,C
J. Mocon,10,,F
K. Nabong,30,77.0,F
R. Nambatac,27,70.0,G
J. Napoles,15,,F
C. Newsome,11,,F
G. Norwood,5,77.0,G
S. Onwubere,23,76.0,F
P. Paniamogan,9,73.0,G
B. Parks,3,,G
K. Pascual,32,77.0,C
J. Pascual,11,77.0,F
J. Perez,7,,G
J. Perkins,3,75.0,F
V. Pessumal,3,74.0,G
M. Pingris,15,76.0,F
N. Pinto,10,71.0,G
R. Pogoy,16,74.0,F
J. Ponferada,15,77.0,F
D. Potts,5,74.0,G
S. Pringle,11,71.0,G
J. Quinahan,37,78.0,F
K. Quinto,19,,G
K. Racal,61,,F
A. Ramos,17,78.0,F
K. Ravena,15,72.0,G
R. Reavis,4,80.0,C
J. Reyes,4,78.0,C
R. Reyes,10,74.0,G
J. Rios,5,75.0,G
P. Rivero,9,,C/F
T. Romeo,7,71.0,G
K. Rosales,11,,G
J. Rosario,18,,F
C. Ross,6,74.0,G
N. Salva,8,76.0,F
I. Sangalang,10,79.0,F
A. Santos,29,76.0,F
J. Sargent,1,73.0,G
D. Semerad,14,77.0,F
J. Sena,15,77.0,F
M. Shaw,19,,C
P. Simon,8,71.0,G
G. Slaughter,20,84.0,C
R. Soyud,16,78.0,C
C. Standhardinger,34,,C/F
S. Sumang,6,,G
Y. Taha,99,81.0,C
P. Taha,0,72.0,G
A. Taulava,88,81.0,C
M. Tautuaa,33,,C
J. Teng,10,74.0,G
L. Tenorio,5,68.0,G
B. Teodoro,14,,G
S. Thompson,6,,G
S. Thoss,7,79.0,C
J. Tiongson,3,70.0,G
V. Tolentino,12,,F/G
A. Tolentino,10,,F
M. Tolomia,1,71.0,G
N. Torres,29,,C
A. Tratter,13,,F
D. Trollano,7,,G
R. Tubid,71,73.0,G
P. Varilla,0,,SG/SF
A. Vosotros,26,,G
J. Washington,32,,F
K. Williams,21,79.0,F
W. Wilson,28,74.0,F
A. Wong,3,,G
M. Wright,35,76.0,G
J. Yap,18,75.0,G
P. Zamar,12,,G
